trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,long,1731423460,1731424100,21139.42,21074.85,21203.99,1.54,sl_hit,-99.44,0.0,0.0,-99.44,-1.0,20081.952016973824,1.0698518733662503,58.70000000000073,0,0
2,US100.cash,long,1731942280,1731943600,20478.29,20425.05,20531.53,1.85,tp_hit,98.49,0.0,0.0,98.49,0.9999999999999317,20194.26249158935,1.019079220240564,48.400000000001455,0,0
3,US100.cash,long,1732030180,1732033120,20501.12,20415.65,20586.59,1.16,tp_hit,99.15,0.0,0.0,99.15,1.0000000000000426,20207.70866838977,1.0128283445326818,77.69999999999709,0,0
4,US100.cash,long,1732286920,1732288240,20784.33,20694.35,20874.31,1.12,sl_hit,-100.78,0.0,0.0,-100.78,-1.0,20261.625012305885,1.025713707228184,81.80000000000291,0,0
5,US100.cash,long,1732632580,1732633240,20934.71,20863.65,21005.77,1.4,sl_hit,-99.48,0.0,0.0,-99.48,-1.0,20303.807479641076,1.0212651774334205,64.59999999999854,0,0
6,US100.cash,long,1733755780,1733758000,21605.12,21540.55,21669.69,1.53,sl_hit,-98.79,0.0,0.0,-98.79,-1.0,20566.390353114548,1.0171556613682515,58.70000000000073,0,0
7,US100.cash,long,1734360820,1734363220,21936.61,21877.65,21995.57,1.6600000000000001,tp_hit,97.87,0.0,0.0,97.87,1.0,20751.316492923324,1.0640074879400965,53.599999999998545,0,0
8,US100.cash,long,1734534880,1734548500,21996.9,21897.35,22096.45,0.99,sl_hit,-98.55,0.0,0.0,-98.55,-1.0,20849.99196444018,1.0832196452933152,90.5,0,0
9,US100.cash,long,1734707140,1734708580,21039.13,20902.95,21175.31,0.71,tp_hit,96.69,0.0,0.0,96.69,1.0,20871.822724575504,1.124450120618703,123.79999999999927,0,0
10,US100.cash,long,1735227520,1735233460,21762.36,21706.15,21818.57,1.76,tp_hit,98.93,0.0,0.0,98.93,1.0,20944.11321304463,1.017163504968383,51.099999999998545,0,0
