entry_i,exit_i,dir,R,bars,entry,outcome,entry_t,exit_t
39,79,1,3.0,40,108763.28,WIN,2025-07-04 08:00:00,2025-07-11 00:00:00
81,205,1,-1.0,124,117964.76,SL,2025-07-11 08:00:00,2025-08-01 00:00:00
213,246,-1,-1.0,33,113682.01,SL,2025-08-02 08:00:00,2025-08-07 20:00:00
262,308,1,-1.0,46,118514.0,SL,2025-08-10 12:00:00,2025-08-18 04:00:00
315,453,-1,1.0,138,115186.48,TP,2025-08-19 08:00:00,2025-09-11 08:00:00
453,524,1,-1.0,71,114049.39,SL,2025-09-11 08:00:00,2025-09-23 04:00:00
525,568,-1,1.0,43,113133.84,TP,2025-09-23 08:00:00,2025-09-30 12:00:00
568,581,1,3.0,13,113002.06,WIN,2025-09-30 12:00:00,2025-10-02 16:00:00
593,629,1,-1.0,36,121719.99,SL,2025-10-04 16:00:00,2025-10-10 16:00:00
634,725,-1,-1.0,91,112380.14,SL,2025-10-11 12:00:00,2025-10-26 16:00:00
725,744,1,-1.0,19,113442.13,SL,2025-10-26 16:00:00,2025-10-29 20:00:00
777,860,-1,3.0,83,103857.96,WIN,2025-11-04 08:00:00,2025-11-18 04:00:00
861,921,-1,-1.0,60,91400.01,SL,2025-11-18 08:00:00,2025-11-28 08:00:00
921,937,1,-1.0,16,91599.99,SL,2025-11-28 08:00:00,2025-12-01 00:00:00
946,947,-1,-1.0,1,87731.41,SL,2025-12-02 12:00:00,2025-12-02 16:00:00
1029,1037,-1,-1.0,8,86350.0,SL,2025-12-16 08:00:00,2025-12-17 16:00:00
1137,1201,1,3.0,64,89791.99,WIN,2026-01-03 08:00:00,2026-01-14 00:00:00
1203,1231,1,-1.0,28,95088.24,SL,2026-01-14 08:00:00,2026-01-19 00:00:00
1240,1295,-1,3.0,55,90958.88,WIN,2026-01-20 12:00:00,2026-01-29 16:00:00
1299,1334,-1,3.0,35,82363.72,WIN,2026-01-30 08:00:00,2026-02-05 04:00:00
1335,1503,-1,-1.0,168,71417.42,SL,2026-02-05 08:00:00,2026-03-05 08:00:00
1503,1511,1,-1.0,8,72611.35,SL,2026-03-05 08:00:00,2026-03-06 16:00:00
1557,1607,1,-1.0,50,70513.63,SL,2026-03-14 08:00:00,2026-03-22 16:00:00
1607,1612,-1,-1.0,5,68656.42,SL,2026-03-22 16:00:00,2026-03-23 12:00:00
1637,1665,-1,-1.0,28,65565.98,SL,2026-03-27 16:00:00,2026-04-01 08:00:00
1701,1745,1,3.0,44,68935.05,WIN,2026-04-07 08:00:00,2026-04-14 16:00:00
1745,1876,1,3.0,131,74689.42,WIN,2026-04-14 16:00:00,2026-05-06 12:00:00
1876,1883,1,-1.0,7,82216.3,SL,2026-05-06 12:00:00,2026-05-07 16:00:00
1901,1919,1,-1.0,18,81370.95,SL,2026-05-10 16:00:00,2026-05-13 16:00:00
1941,2032,-1,3.0,91,78082.5,WIN,2026-05-17 08:00:00,2026-06-01 12:00:00
2032,2040,-1,3.0,8,72214.44,WIN,2026-06-01 12:00:00,2026-06-02 20:00:00
