instrument,tf,rec_style,style,emas,minScore,trades,pf,exp_R,win_pct,maxdd_R,maxdd_pct_1,maxdd_pct_2,net_R
XAUUSD,1h,Scalp/Intraday,Scalp,9/21,50,182,1.29,0.187,34.6,13.0,12.5,23.9,34.0
XAUUSD,1h,Scalp/Intraday,Scalp,9/21,75,176,1.3,0.193,35.2,12.0,11.5,22.2,34.0
XAUUSD,1h,Scalp/Intraday,Scalp,9/21,100,142,1.4,0.254,35.9,10.0,9.6,18.5,36.0
XAUUSD,1h,Scalp/Intraday,Intraday,13/34,50,154,1.5,0.312,37.7,8.0,7.8,15.2,48.0
XAUUSD,1h,Scalp/Intraday,Intraday,13/34,75,155,1.46,0.29,36.8,9.0,8.7,16.9,45.0
XAUUSD,1h,Scalp/Intraday,Intraday,13/34,100,126,1.51,0.317,37.3,9.0,8.7,16.9,40.0
XAUUSD,1h,Scalp/Intraday,Swing,21/50,50,118,1.93,0.542,41.5,13.0,12.3,23.1,64.0
XAUUSD,1h,Scalp/Intraday,Swing,21/50,75,118,1.89,0.525,40.7,13.0,12.3,23.1,62.0
XAUUSD,1h,Scalp/Intraday,Swing,21/50,100,109,1.55,0.358,34.9,14.0,13.1,24.6,39.0
BTCUSD,4h,Swing,Scalp,9/21,50,47,1.5,0.277,44.7,8.0,7.8,15.0,13.0
BTCUSD,4h,Swing,Scalp,9/21,75,44,1.15,0.091,38.6,8.0,8.0,15.8,4.0
BTCUSD,4h,Swing,Scalp,9/21,100,32,1.74,0.438,40.6,6.0,5.9,11.4,14.0
BTCUSD,4h,Swing,Intraday,13/34,50,34,2.18,0.588,50.0,4.0,4.0,8.0,20.0
BTCUSD,4h,Swing,Intraday,13/34,75,34,2.0,0.529,47.1,4.0,4.1,8.2,18.0
BTCUSD,4h,Swing,Intraday,13/34,100,29,2.06,0.586,44.8,4.0,4.0,8.0,17.0
BTCUSD,4h,Swing,Swing,21/50,50,31,1.68,0.419,38.7,5.0,4.9,9.6,13.0
BTCUSD,4h,Swing,Swing,21/50,75,31,1.68,0.419,38.7,5.0,4.9,9.6,13.0
BTCUSD,4h,Swing,Swing,21/50,100,25,1.56,0.36,36.0,4.0,4.1,8.2,9.0
EURUSD,1h,Swing,Scalp,9/21,50,179,1.01,0.006,30.2,18.0,16.9,31.6,1.0
EURUSD,1h,Swing,Scalp,9/21,75,175,1.07,0.051,30.9,15.0,14.2,26.9,9.0
EURUSD,1h,Swing,Scalp,9/21,100,148,1.2,0.135,33.1,15.0,14.2,26.7,20.0
EURUSD,1h,Swing,Intraday,13/34,50,158,1.04,0.025,29.7,13.0,12.5,24.1,4.0
EURUSD,1h,Swing,Intraday,13/34,75,156,0.98,-0.013,28.8,16.0,15.1,28.4,-2.0
EURUSD,1h,Swing,Intraday,13/34,100,137,1.2,0.139,32.1,13.0,12.5,24.1,19.0
EURUSD,1h,Swing,Swing,21/50,50,132,1.04,0.03,29.5,11.0,10.6,20.5,4.0
EURUSD,1h,Swing,Swing,21/50,75,129,1.03,0.023,28.7,13.0,12.4,23.6,3.0
EURUSD,1h,Swing,Swing,21/50,100,118,1.07,0.051,28.8,10.0,9.7,18.9,6.0
